total_wage,num_in_field,field
29305946.0,634,"WHOLESALE AND RETAIL BUYERS, EXCEPT FARM PRODUCTS"
29897944.0,632,"CIVIL ENGINEERS, R&D"
34824438.0,622,OCCUPATIONAL HEALTH AND SAFETY SPECIALISTS
28391676.0,618,"Health Diagnosing and Treating Practitioners, All "
36702002.0,606,"ARCHITECTURE TEACHERS, POSTSECONDARY"
31638195.0,602,"SOCIAL SCIENTISTS AND RELATED WORKERS, ALL OTHER"
33267079.0,598,ASTRONOMERS
22934747.0,598,"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL COUN"
37465897.0,597,BUSINESS INTELLIGENCE ANALYSTS
31817975.0,590,"CLINICAL, COUNSELING, AND SCHOOL PSYCHOLOGISTS"
27933594.0,590,DIETITIANS AND NUTRITIONISTS
29344535.0,584,"LEGAL SUPPORT WORKERS, ALL OTHER"
28772207.0,580,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND F"
36728142.0,561,"SOFTWARE DEVELOPERS, APPLICATIONS, R&D"
17915693.0,559,"TEACHERS AND INSTRUCTORS, ALL OTHER*"
19670628.0,553,"CHILD, FAMILY, AND SCHOOL SOCIAL WORKERS"
30423049.0,543,"Electronics Engineers, Except Computer, Non R&D"
22383824.0,540,SURVEY RESEARCHERS
40282113.0,538,FINANCIAL EXAMINERS
28794391.0,531,AGRICULTURAL ENGINEERS
28746385.0,521,"ENVIRONMENTAL SCIENTISTS AND SPECIALISTS,"
26652490.0,514,MARKET RESEARCH ANALYSTS AND MARKETING
24906370.0,499,"PSYCHOLOGISTS, ALL OTHER"
72626719.0,498,ANESTHESIOLOGISTS
22201988.0,496,ZOOLOGISTS AND WILDLIFE BIOLOGISTS
16714292.0,492,SELF-ENRICHMENT EDUCATION TEACHERS
23349749.0,486,LIBRARIANS
29707302.0,485,"SALES REPRESENTATIVES, WHOLESALE AND"
22878177.0,484,FILM AND VIDEO EDITORS
27702869.0,474,Multi-Media Artists and Animators
17683576.0,473,ATHLETIC TRAINERS
22908600.0,473,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS, ALL"
25309207.0,462,"COMPENSATION, BENEFITS, AND JOB ANALYSIS SPECIALIS"
15911160.0,461,"BOOKKEEPING, ACCOUNTING, AND AUDITING CLERKS"
32010344.0,460,"SOFTWARE DEVELOPERS, APPLICATIONS, NON R&D"
21083199.0,457,GEOGRAPHERS
10421705.0,445,RECREATION WORKERS
36733720.0,436,OPTOMETRISTS
15654058.0,430,"DIRECTORS, RELIGIOUS ACTIVITIES AND EDUCATION"
18435623.0,427,"MIDDLE SCHOOL TEACHERS, EXCEPT SPECIAL AND VOCATIO"
16789261.0,424,"EDUCATIONAL, GUIDANCE, SCHOOL, AND VOCATIONAL"
16841489.0,423,MUSIC DIRECTORS AND COMPOSERS
23909634.0,422,"AGRICULTURAL SCIENCES TEACHERS, POSTSECONDARY"
14769480.0,405,"LIFE, PHYSICAL, AND SOCIAL SCIENCE TECHNICIANS, AL"
22711072.0,401,"EDUCATION ADMINISTRATORS, ALL OTHER"
25744656.0,399,INSURANCE UNDERWRITERS
19836445.0,396,CHIROPRACTORS
19089193.0,395,"SOCIOLOGY TEACHERS, POSTSECONDARY"
20555043.0,390,"PURCHASING AGENTS, EXCEPT WHOLESALE, RETAIL, AND"
22183653.0,387,HYDROLOGISTS
28108059.0,385,PHYSICIAN ASSISTANTS
15497115.0,372,STATISTICAL ASSISTANTS
34474350.0,365,"TREASURERS, CONTROLLERS, AND CHIEF FINANCIAL OFFIC"
19848900.0,364,SOCIOLOGISTS
16830082.0,361,"ENGINEERING TECHNICIANS, EXCEPT DRAFTERS, ALL OTHE"
17519041.0,359,"GEOGRAPHY TEACHERS, POSTSECONDARY"
28362096.0,358,POLITICAL SCIENTISTS
23086178.0,351,Computer Security Specialists
18409410.0,348,"NURSING INSTRUCTORS AND TEACHERS, POSTSECONDARY"
12155645.0,343,MENTAL HEALTH AND SUBSTANCE ABUSE SOCIAL WORKERS
16387397.0,336,MECHANICAL ENGINEERING TECHNICIANS
12318338.0,334,CREDIT COUNSELORS
10745918.0,329,AGRICULTURAL AND FOOD SCIENCE TECHNICIANS
13435182.0,328,"RECREATION AND FITNESS STUDIES TEACHERS, POSTSECON"
12249509.0,319,"EDUCATION ADMINISTRATORS, PRESCHOOL AND CHILDCARE"
24443096.0,312,NUCLEAR ENGINEERS
8348508.0,302,ANIMAL BREEDERS
15936767.0,302,"AREA, ETHNIC, AND CULTURAL STUDIES TEACHERS, POSTS"
11917037.0,302,LAW CLERKS
17297709.0,300,"Computer Software Engineers, Applications, Non R&D"
16043365.0,296,"COMPUTER SYSTEMS ANALYSTS, R&D"
13696875.0,292,First-Line Supervisors of Office and Administrativ
13148897.0,288,CIVIL ENGINEERING TECHNICIANS
12540230.0,281,"ENGLISH LANGUAGE AND LITERATURE TEACHERS,"
13974289.0,279,CARTOGRAPHERS AND PHOTOGRAMMETRISTS
7858509.0,275,PHARMACY TECHNICIANS
8607928.0,274,AGRICULTURAL INSPECTORS
22058284.0,274,NURSE PRACTITIONERS
11775369.0,273,HEALTHCARE SOCIAL WORKERS
